taxon,family,order
Lara,Elmidae,Coleoptera
Lepidostoma,Lepidostomatidae,Trichoptera
Leucrocuta,Heptageniidae,Ephemeroptera
Leuctra,Leuctridae,Plecoptera
Limnophila,Tipulidae,Diptera
Limonia,Tipulidae,Diptera
Lype,Psychomyiidae,Trichoptera
Maccaffertium,Heptageniidae,Ephemeroptera
Macronychus,Elmidae,Coleoptera
Malirekus,Perlodidae,Plecoptera
Mayatrichia,Hydroptilidae,Trichoptera
Megaselia,Phoridae ,Diptera
Micrasema,Brachycentridae,Trichoptera
Microvelia,Veliidae,Hemiptera
Molophilus,Tipulidae,Diptera
Nemoura,Nemouridae,Plecoptera
Neophylax,Uenoidae,Trichoptera
Neoplasta,Empididae,Diptera
Neotrichia,Hydroptilidae,Trichoptera
Nigronia,Corydalidae,Megaloptera
Ochrotrichia,Hydroptilidae,Trichoptera
Oecetis,Leptoceridae,Trichoptera
Oemopteryx,Taeniopterygidae,Plecoptera
Oligochaeta,Oligochaeta,Oligochaeta
Oligostomis,Phryganeidae,Trichoptera
Optioservus,Elmidae,Coleoptera
Ormosia,Tipulidae,Diptera
Ostrocerca,Nemouridae,Plecoptera
Oulimnius,Elmidae,Coleoptera
Paracapnia,Capniidae,Plecoptera
Paraleptophlebia,Leptophlebiidae,Ephemeroptera
Paraleuctra,Leuctridae,Plecoptera
Paranemoura,Nemouridae,Plecoptera
Parapsyche,Hydropsychidae,Trichoptera
Pedicia,Tipulidae,Diptera
Peltoperla,Peltoperlidae,Plecoptera
Pericoma.Telmatoscopus,Psychodidae,Diptera
Perlesta,Perlidae,Plecoptera
Phanocerus,Elmidae,Coleoptera
Pilaria,Tipulidae,Diptera
Plauditus,Baetidae,Ephemeroptera
Polycentropus,Polycentropodidae,Trichoptera
Prosimulium,Simuliidae,Diptera
Prostoia,Nemouridae,Plecoptera
Pseudostenophylax,Limnephilidae,Trichoptera
Psephenus,Psephenidae,Coleoptera
Pteronarcys,Pteronarcyidae,Plecoptera
Pycnopsyche,Limnephilidae,Trichoptera
Remenus,Perlodidae,Plecoptera
Rhagovelia,Veliidae,Hemiptera
Rhamphomyia,Empididae,Diptera
Rhyacophila,Rhyacophilidae,Trichoptera
Roederiodes,Empididae,Diptera
Sialis,Sialidae,Megaloptera
Simulium,Simuliidae,Diptera
Sisyridae,Sisyridae,Neuroptera 
Somatochlora,Corduliidae,Odonata
Soyedina,Nemouridae,Plecoptera
Stactobiella,Hydroptilidae,Trichoptera
Stenacron,Heptageniidae,Ephemeroptera
Stenelmis,Elmidae,Coleoptera
Stenonema,Heptageniidae,Ephemeroptera
Stilobezzia,Ceratopogonidae,Diptera
Strophopteryx,Taeniopterygidae,Plecoptera
Stylogomphus,Gomphidae,Odonata
Suwallia,Chloroperlidae,Plecoptera
Sweltsa,Chloroperlidae,Plecoptera
Tabanus,Tabanidae,Diptera
Taeniopteryx,Taeniopterygidae,Plecoptera
Tallaperla,Peltoperlidae,Plecoptera
Timpanoga,Ephemerellidae,Ephemeroptera
Tipula,Tipulidae,Diptera
Tipulidae,Tipulidae,Diptera
Wormaldia,Philopotamidae,Trichoptera
Yugus,Perlodidae,Plecoptera
