totind,abund,Hshannon,Hsimpson,rich,J,rich.E,rich.P,rich.T,rich.C,rich.D,rich.less.E,rich.EPT,rich.T.less.H,pT.less.H,rich.EPT.less.H,pEPT.less.H,pEPT,pEPT.less.Cheum,pEPT.less.HBL,rich.PT,pE,rich.E.less.B,pE.less.B,pP,pP.less.Leuc,pP.less.Amph,pP.less.Allo,pP.less.LAA,pT,pPT.H,pChi,pD,pOligo,pChiO,p1dom,p2dom,p5dom,rich.SH,rich.CG,rich.SC,rich.SC.less.E,rich.CF,rich.PR,pSH,pCG,pSC,pSC.less.E,pCF,pPR,rich.Cling,pCling,rich.Burrow,pBurrow,rich.Climb,pClimb,rich.Sprawl,pSprawl,rich.Swimm,pSwimm,div.shan,div.simp,even.pielou,rich.INT,rich.TOL,pTOL,Site,Stream
208,208,2.676984947,0.890486317,26,0.82164077,7,6,7,2,4,19,20,4,9.615384615,17,38.46153846,67.30769231,63.94230769,33.65384615,13,20.2,5,17.3,8.7,6.7,8.7,8.7,6.7,38.5,18.3,21.2,23.6,0,21.15384615,19.2,33.2,64.9,2,5,6,3,5,7,3.4,33.2,18.8,10.6,31.7,12.5,17,63,3,22.6,0,0,2,2.4,4,12,2.677,0.89,0.8216,15,0,0,EAS-4,EAS (R)
186,186,2.69775835,0.884842178,28,0.809601674,6,7,8,3,2,22,21,5,12.3655914,18,47.31182796,81.72043011,80.10752688,45.16129032,15,29,5,27.4,5.9,5.4,5.9,5.9,5.4,46.8,18.3,6.5,7,0,6.451612903,21.5,37.1,72.6,4,4,7,4,6,7,3.2,23.7,24.2,12.4,38.7,10.2,21,78.5,2,7,0,0,2,2.2,3,12.4,2.698,0.885,0.8096,17,0,0,EAS-5,EAS (R)
189,189,2.796566972,0.903782089,27,0.848514986,8,6,8,2,2,19,22,4,12.6984127,18,57.67195767,88.35978836,88.35978836,53.43915344,14,31.2,6,28.6,13.8,12.2,13.8,13.8,12.2,43.4,26.5,3.7,4.2,0.5,4.232804233,21.2,36.5,71.4,4,6,8,4,5,4,10.1,23.8,21.7,10.1,32.3,12.2,19,87.3,3,4.8,0,0,1,2.1,4,5.8,2.797,0.904,0.8485,18,0,0,EAS-6,EAS (R)
185,185,2.826247548,0.902089116,29,0.839322617,7,4,9,3,5,22,20,5,13.51351351,16,45.40540541,77.83783784,75.13513514,43.24324324,13,23.2,6,21.1,8.6,8.6,8.6,8.6,8.6,45.9,22.2,7,9.2,0,7.027027027,21.6,37.3,73,3,3,10,5,6,7,4.3,18.9,28.1,16.8,35.1,13.5,21,84.3,4,9.2,0,0,2,1.1,2,5.4,2.826,0.902,0.8393,16,0,0,EAS-7,EAS (R)
200,200,2.911732226,0.91685,29,0.864709361,6,7,7,4,3,23,20,4,8.5,17,43,73,66,40,14,20,5,19,14.5,12.5,14.5,14.5,12.5,38.5,23,10.5,13,1,11.5,20,34.5,67.5,5,6,9,5,4,5,8.5,21.5,25.5,13.5,31,13.5,20,80.5,4,14,0,0,2,1.5,3,4,2.912,0.917,0.8647,17,0,0,EAS-8,EAS (R)
190,190,2.336630795,0.795955679,27,0.708964336,4,5,10,2,4,23,19,7,7.894736842,16,23.15789474,76.84210526,67.36842105,20,15,8.4,3,7.9,6.8,4.2,6.8,6.8,4.2,61.6,14.7,2.6,6.8,0,2.631578947,21.1,36.3,71.1,5,2,7,4,7,6,7.9,3.2,24.2,16.3,56.3,8.4,19,90,4,6.3,0,0,3,3.2,1,0.5,2.337,0.796,0.709,17,0,0,FRY-1,FRY (MN-G)
226,226,2.5073169,0.870937427,24,0.788947272,2,4,6,5,4,22,12,3,4.424778761,9,13.27433628,60.17699115,46.01769912,12.83185841,10,3.5,1,3.1,5.3,5.3,5.3,5.3,5.3,51.3,9.7,1.8,12.8,0.4,2.212389381,17.7,30.5,59.7,3,3,7,6,4,7,11.5,2.7,29.2,26.1,50,6.6,16,82.3,5,14.6,0,0,2,2.7,1,0.4,2.507,0.871,0.7889,10,0,0,FRY-2,FRY (MN-G)
201,201,2.468349384,0.8119601,30,0.725729532,4,5,9,4,5,26,18,5,8.457711443,14,19.40298507,69.65174129,62.18905473,18.4079602,14,6,3,5.5,5,4.5,5,5,4.5,58.7,13.4,2,9.5,2,3.980099502,19.9,34.3,67.2,4,5,8,6,6,7,8,5.5,23.9,18.9,52.7,10,20,83.1,5,12.4,0,0,3,3.5,2,1,2.468,0.812,0.7257,15,0,0,FRY-3,FRY (MN-G)
192,192,2.296025427,0.822536892,22,0.742799706,1,4,8,3,4,21,13,4,5.729166667,9,16.66666667,74.47916667,55.72916667,16.66666667,12,3.6,1,3.6,7.3,7.3,7.3,7.3,7.3,63.5,13,1.6,10.9,0,1.5625,20.8,35.9,70.3,3,2,5,4,5,7,12,2.1,16.1,12.5,58.9,10.9,15,82.3,3,13,0,0,3,4.2,1,0.5,2.296,0.823,0.7428,13,0,0,FRY-4,FRY (MN-G)
196,196,2.471518068,0.827884215,29,0.733977112,3,8,7,5,5,26,18,4,9.183673469,15,24.48979592,75.51020408,64.28571429,23.46938776,15,5.1,2,4.6,10.2,9.7,10.2,9.7,9.2,60.2,19.4,0.5,8.7,0,0.510204082,20.4,35.2,68.9,6,3,8,6,5,7,12.8,2.6,19.4,14.8,52.6,12.8,21,86.7,4,9.2,0,0,3,3.6,1,0.5,2.472,0.828,0.734,16,0,0,FRY-5,FRY (MN-G)
224,224,2.306184193,0.804767219,30,0.678050679,4,7,10,3,4,26,21,6,19.64285714,17,33.03571429,88.39285714,74.10714286,32.58928571,17,2.2,4,2.2,11.2,10.7,11.2,10.3,9.8,75,30.8,1.8,4,0,1.785714286,17.9,30.8,60.3,6,1,9,5,7,7,10.3,1.8,11.2,8.9,58,18.8,23,87.9,4,4,0,0,3,8,0,0,2.306,0.805,0.6781,16,0,0,FRY-6,FRY (MN-G)
200,200,2.456839373,0.8553,23,0.783557297,0,6,8,5,2,23,14,5,15,11,30.5,77,65,30.5,14,0,0,0,15.5,15.5,15.5,15.5,15.5,61.5,30.5,1.5,6,2,3.5,20,34.5,67.5,4,3,6,6,4,6,18,5,15,15,48.5,13.5,17,78.5,4,9,0,0,2,12.5,0,0,2.457,0.855,0.7836,11,0,0,FRY-7,FRY (MN-G)
219,219,2.192395559,0.767248389,27,0.665201479,3,7,8,3,3,24,18,5,9.589041096,15,27.85388128,84.93150685,75.34246575,27.39726027,15,3.2,2,2.7,15.1,15.1,15.1,15.1,15.1,66.7,24.7,1.4,3.2,0.9,2.283105023,18.3,31.5,61.6,4,3,6,4,5,9,11.9,2.7,13.7,11,58.9,12.8,20,85.4,4,4.6,0,0,2,9.6,1,0.5,2.192,0.767,0.6652,15,0,0,FRY-8,FRY (MN-G)
216,216,2.706368135,0.908693416,24,0.851580332,0,5,7,5,6,24,12,3,5.555555556,8,25.92592593,53.7037037,49.53703704,12.5,12,0,0,0,20.4,6.9,20.4,17.1,3.7,33.3,25.9,6.9,12,0,6.944444444,18.5,31.9,62.5,4,1,6,6,6,7,18.1,6.9,32.9,32.9,33.3,8.8,17,87,3,9.3,0,0,4,3.7,0,0,2.706,0.909,0.8516,9,1,1.85185,LLW-1,LLW (MG)
201,201,2.612150524,0.882205886,28,0.783910626,2,5,6,4,9,26,13,2,2.487562189,9,24.37810945,61.69154229,55.2238806,6.467661692,11,2,1,1,19.9,3,19.9,18.9,2,39.8,22.4,7,12.9,2.5,9.452736318,19.9,34.3,67.2,6,5,6,6,5,6,20.4,11.9,21.9,21.9,38.8,7,16,82.6,9,14.9,0,0,2,1.5,1,1,2.612,0.882,0.7839,13,2,1.99005,LLW-2,LLW (MG)
218,218,2.394487241,0.821942597,27,0.726518738,2,5,5,5,8,25,12,1,1.376146789,8,17.88990826,65.59633028,59.63302752,4.587155963,10,2.3,0,0,14.2,3.2,14.2,13.3,2.3,49.1,15.6,5.5,12.4,0.9,6.422018349,18.3,31.7,61.9,5,3,7,6,6,6,15.1,7.3,22.5,21.1,50.5,4.6,18,88.1,5,9.2,0,0,3,1.8,1,0.9,2.394,0.822,0.7265,11,1,1.83486,LLW-3,LLW (MG)
257,257,2.627859625,0.898878106,25,0.816390494,2,3,6,5,7,23,11,3,8.560311284,8,35.40856031,62.25680934,57.9766537,12.84046693,9,22.2,1,3.5,4.7,0.8,4.7,4.3,0.4,35.4,13.2,5.1,8.6,0.8,5.836575875,15.6,26.8,52.5,6,3,6,5,5,5,13.2,24.5,28.4,24.9,29.2,4.7,17,72.4,5,8.2,0,0,2,0.8,1,18.7,2.628,0.899,0.8164,9,1,0.38911,LLW-4,LLW (MG)
200,200,1.958054932,0.76865,17,0.691107479,0,3,5,1,6,17,8,2,2.5,5,7.5,54.5,50.5,7.5,8,0,0,0,5,5,5,4,4,49.5,7.5,9,26,1.5,10.5,20,34.5,67.5,4,3,3,3,4,3,15,13.5,18,18,49.5,4,9,73,5,22.5,0,0,2,1.5,1,3,1.958,0.769,0.6911,6,1,2.5,LLW-5,LLW (MG)
213,213,1.747967212,0.723621856,20,0.58348579,1,3,6,2,6,19,10,3,4.225352113,7,7.042253521,39.90610329,36.15023474,7.042253521,9,0.5,1,0.5,2.3,2.3,2.3,1.9,1.9,37.1,6.6,9.4,55.9,2.8,12.20657277,18.8,32.4,63.4,3,4,3,2,6,4,44.1,13.1,1.4,0.9,35.7,5.6,12,42.3,4,55.9,0,0,2,0.9,2,0.9,1.748,0.724,0.5835,8,1,1.87793,LLW-6,LLW (MG)
199,199,2.013259646,0.75250625,21,0.661272724,3,5,3,4,4,18,11,1,1.507537688,9,18.59296482,65.82914573,65.82914573,9.045226131,8,3,3,3,14.1,4.5,14.1,14.1,4.5,48.7,15.6,6,19.1,1,7.035175879,20.1,34.7,67.8,3,3,7,4,3,5,23.1,7.5,17.6,14.6,48.7,3,14,76.9,5,20.1,0,0,1,2.5,1,0.5,2.013,0.753,0.6613,12,0,0,ROL-1,ROL (MG)
209,209,2.269844291,0.830750212,20,0.757692639,1,4,6,3,4,19,11,3,7.177033493,8,16.74641148,62.20095694,53.11004785,11.96172249,10,1.9,1,1.9,7.7,2.9,7.7,7.7,2.9,52.6,14.8,1.9,10,8.1,10.04784689,19.1,33,64.6,3,3,5,4,4,5,13.4,10.5,25.8,23.9,45.9,4.3,13,79.4,4,17.2,0,0,3,3.3,0,0,2.27,0.831,0.7577,9,1,0.47847,ROL-2,ROL (MG)
220,220,2.66395825,0.893429752,27,0.808279766,3,7,5,6,3,24,15,3,4.545454545,13,17.27272727,45.90909091,41.36363636,11.36363636,12,1.8,3,1.8,10.9,5,10.9,10,4.1,33.2,15.5,3.2,18.2,8.6,11.81818182,18.2,31.4,61.4,6,3,8,5,3,7,23.2,20.5,16.4,14.5,30.5,9.5,18,65.9,5,30.5,0,0,3,3.2,1,0.5,2.664,0.893,0.8083,13,0,0,ROL-3,ROL (MG)
210,210,2.395631491,0.852290249,25,0.744244768,1,7,5,2,8,24,13,3,7.619047619,11,21.9047619,53.80952381,53.80952381,17.14285714,12,0.5,1,0.5,13.8,9,13.8,13.3,8.6,39.5,21.4,12.4,24.3,12.4,24.76190476,19,32.9,64.3,4,3,5,4,3,10,16.7,26.2,13.3,12.9,32.9,11,14,56.7,6,37.1,0,0,4,4.8,1,1.4,2.396,0.852,0.7442,13,0,0,ROL-4,ROL (MG)
198,198,2.225415566,0.818794001,22,0.719956325,0,6,6,3,4,22,12,4,11.11111111,10,21.21212121,59.09090909,59.09090909,19.19191919,12,0,0,0,10.1,8.1,10.1,9.1,7.1,49,21.2,9.1,18.7,14.6,23.73737374,20.2,34.8,68.2,4,3,3,3,4,8,14.1,24.7,14.6,14.6,38.9,7.6,14,61.6,5,33.3,0,0,3,5.1,0,0,2.225,0.819,0.72,12,0,0,ROL-5,ROL (MG)
194,194,2.195912313,0.832075672,19,0.745782925,0,6,4,2,5,19,10,2,11.8556701,8,30.41237113,67.5257732,63.91752577,28.35051546,10,0,0,0,18.6,16.5,18.6,15.5,13.4,49,30.4,14.9,26.3,0.5,15.46391753,20.6,35.6,69.6,5,3,4,4,2,5,25.3,16,17,17,37.1,4.6,10,60.8,6,26.8,0,0,3,12.4,0,0,2.196,0.832,0.7458,7,0,0,ROL-6,ROL (MG)
205,205,2.531279107,0.876430696,26,0.776919615,5,4,9,3,2,21,18,6,9.756097561,15,39.51219512,83.90243902,64.3902439,36.58536585,13,8.8,4,8.3,21,18.5,21,5.4,2.9,54.1,30.7,3.9,5.4,0.5,4.390243902,19.5,33.7,65.9,4,3,8,5,6,5,20.5,4.9,16.1,8.8,47.8,10.7,19,91.2,4,6.3,0,0,1,1,2,1.5,2.531,0.876,0.7769,16,0,0,SPC-1,SPC (MG)
219,219,2.942515995,0.921040012,31,0.856880303,5,6,8,5,5,26,19,5,18.26484018,16,44.74885845,70.77625571,49.7716895,42.00913242,14,17.4,4,15.1,9.1,8.7,9.1,4.1,3.7,44.3,27.4,6.8,11.4,0.5,7.305936073,18.3,31.5,61.6,6,4,8,5,6,7,11,10.5,30.6,16.4,33.8,14.2,22,83.1,3,9.6,0,0,5,5,1,2.3,2.943,0.921,0.8569,17,0,0,SPC-2,SPC (MG)
198,198,2.795458202,0.906029997,31,0.814056091,6,5,9,4,5,25,20,6,16.16161616,17,38.88888889,74.74747475,60.1010101,35.35353535,14,12.1,4,9.6,10.6,9.6,10.6,5.1,4,52,26.8,1.5,12.6,1,2.525252525,20.2,34.8,68.2,6,5,8,5,6,6,19.7,6.1,19.2,10.6,37.9,17.2,21,80.8,4,12.6,0,0,4,4,2,2.5,2.795,0.906,0.8141,17,0,0,SPC-3,SPC (MG)
228,228,2.697437358,0.880193906,32,0.7783159,5,5,9,6,4,27,19,6,9.210526316,16,37.71929825,78.07017544,49.12280702,34.21052632,14,16.2,4,13.2,12.3,11.8,12.3,2.6,2.2,49.6,21.5,6.1,7.5,1.3,7.456140351,17.5,30.3,59.2,6,5,10,7,6,5,12.7,11.8,23.2,10.5,45.6,6.6,21,85.1,4,8.3,0,0,6,3.5,1,3.1,2.697,0.88,0.7783,18,0,0,SPC-4,SPC (MG)
207,207,2.976408369,0.932810567,32,0.858809919,5,8,9,3,6,27,22,5,17.39130435,18,50.24154589,79.22705314,64.73429952,38.647343,17,19.8,3,9.2,13,12.1,13,5.3,4.3,46.4,30.4,6.3,10.1,0,6.280193237,19.3,33.3,65.2,5,4,6,3,8,9,12.1,17.4,17.9,8.7,39.1,13.5,22,76.3,3,10.1,0,0,4,2.4,3,11.1,2.976,0.933,0.8588,20,2,0.96618,SPC-5,SPC (MG)
205,205,2.858426935,0.911029149,32,0.824767673,5,4,9,5,5,27,18,5,16.58536585,14,36.58536585,72.19512195,50.24390244,32.19512195,13,8.8,3,7.3,11.2,8.3,11.2,3.9,1,52.2,27.8,5.4,9.8,0.5,5.853658537,19.5,33.7,65.9,3,5,7,5,7,10,11.7,7.8,21.5,14.6,45.9,13.2,23,86.3,6,10.7,0,0,1,1.5,2,1.5,2.858,0.911,0.8248,15,0,0,SPC-7,SPC (MG)
189,189,2.828832265,0.898407099,34,0.802195988,6,5,10,4,7,28,21,7,8.465608466,18,43.38624339,72.48677249,52.91005291,40.21164021,15,7.4,4,6.3,27.5,25.4,27.5,6.9,4.8,37.6,36,5.8,13.2,1.6,7.407407407,21.2,36.5,71.4,4,6,9,6,7,8,27.5,10.6,19.6,14.8,33.9,8.5,22,82,5,12.7,0,0,3,3.2,4,2.1,2.829,0.898,0.8022,20,1,1.0582,SPC-8,SPC (MG)
