START,END,Season,Stream,SIM
FRY2,FRY3,Fall,FRY,0.98245614
FRY2,FRY4,Fall,FRY,0.98245614
FRY2,FRY5,Fall,FRY,0.947368421
FRY2,FRY6,Fall,FRY,0.894736842
FRY2,FRY7,Fall,FRY,1
FRY3,FRY2,Fall,FRY,0.98245614
FRY3,FRY3,Fall,FRY,1
FRY3,FRY4,Fall,FRY,1
FRY3,FRY5,Fall,FRY,0.964285714
FRY3,FRY6,Fall,FRY,0.877192982
FRY3,FRY7,Fall,FRY,0.98245614
FRY4,FRY3,Fall,FRY,1
FRY4,FRY4,Fall,FRY,1
FRY4,FRY5,Fall,FRY,0.964285714
FRY4,FRY6,Fall,FRY,0.877192982
FRY4,FRY7,Fall,FRY,0.98245614
FRY5,FRY4,Fall,FRY,0.964285714
FRY5,FRY5,Fall,FRY,1
FRY5,FRY6,Fall,FRY,0.909090909
FRY5,FRY7,Fall,FRY,0.947368421
FRY6,FRY5,Fall,FRY,0.909090909
FRY6,FRY6,Fall,FRY,1
FRY6,FRY7,Fall,FRY,0.894736842
FRY7,FRY6,Fall,FRY,0.894736842
FRY7,FRY7,Fall,FRY,1
LLW1,LLW1,Fall,LLW,1
LLW1,LLW2,Fall,LLW,0.881355932
LLW1,LLW3,Fall,LLW,0.912280702
LLW1,LLW4,Fall,LLW,0.912280702
LLW1,LLW5,Fall,LLW,0.945454545
LLW1,LLW6,Fall,LLW,0.881355932
LLW2,LLW1,Fall,LLW,0.881355932
LLW2,LLW2,Fall,LLW,1
LLW2,LLW3,Fall,LLW,0.966101695
LLW2,LLW4,Fall,LLW,0.966101695
LLW2,LLW5,Fall,LLW,0.93220339
LLW2,LLW6,Fall,LLW,1
LLW3,LLW2,Fall,LLW,0.966101695
LLW3,LLW3,Fall,LLW,1
LLW3,LLW4,Fall,LLW,1
LLW3,LLW5,Fall,LLW,0.964912281
LLW3,LLW6,Fall,LLW,0.966101695
LLW4,LLW3,Fall,LLW,1
LLW4,LLW4,Fall,LLW,1
LLW4,LLW5,Fall,LLW,0.964912281
LLW4,LLW6,Fall,LLW,0.966101695
LLW5,LLW4,Fall,LLW,0.964912281
LLW5,LLW5,Fall,LLW,1
LLW5,LLW6,Fall,LLW,0.93220339
LLW6,LLW5,Fall,LLW,0.93220339
LLW6,LLW6,Fall,LLW,1
ROL1,ROL1,Fall,ROL,1
ROL1,ROL2,Fall,ROL,0.93220339
ROL1,ROL3,Fall,ROL,1
ROL1,ROL4,Fall,ROL,1
ROL1,ROL5,Fall,ROL,0.894736842
ROL1,ROL6,Fall,ROL,0.894736842
ROL2,ROL1,Fall,ROL,0.93220339
ROL2,ROL2,Fall,ROL,1
ROL2,ROL3,Fall,ROL,0.93220339
ROL2,ROL4,Fall,ROL,0.93220339
ROL2,ROL5,Fall,ROL,0.894736842
ROL2,ROL6,Fall,ROL,0.894736842
ROL3,ROL2,Fall,ROL,0.93220339
ROL3,ROL3,Fall,ROL,1
ROL3,ROL4,Fall,ROL,1
ROL3,ROL5,Fall,ROL,0.894736842
ROL3,ROL6,Fall,ROL,0.894736842
ROL4,ROL3,Fall,ROL,1
ROL4,ROL4,Fall,ROL,1
ROL4,ROL5,Fall,ROL,0.894736842
ROL4,ROL6,Fall,ROL,0.894736842
ROL5,ROL4,Fall,ROL,0.894736842
ROL5,ROL5,Fall,ROL,1
ROL5,ROL6,Fall,ROL,1
ROL6,ROL5,Fall,ROL,1
ROL6,ROL6,Fall,ROL,1
SPC1,SPC1,Fall,SPC,1
SPC1,SPC2,Fall,SPC,1
SPC1,SPC3,Fall,SPC,1
SPC1,SPC4,Fall,SPC,1
SPC1,SPC5,Fall,SPC,0.949152542
SPC1,SPC7,Fall,SPC,1
SPC1,SPC8,Fall,SPC,0.966101695
SPC2,SPC1,Fall,SPC,1
SPC2,SPC2,Fall,SPC,1
SPC2,SPC3,Fall,SPC,1
SPC2,SPC4,Fall,SPC,1
SPC2,SPC5,Fall,SPC,0.949152542
SPC2,SPC7,Fall,SPC,1
SPC2,SPC8,Fall,SPC,0.966101695
SPC3,SPC2,Fall,SPC,1
SPC3,SPC3,Fall,SPC,1
SPC3,SPC4,Fall,SPC,1
SPC3,SPC5,Fall,SPC,0.949152542
SPC3,SPC7,Fall,SPC,1
SPC3,SPC8,Fall,SPC,0.966101695
SPC4,SPC3,Fall,SPC,1
SPC4,SPC4,Fall,SPC,1
SPC4,SPC5,Fall,SPC,0.949152542
SPC4,SPC7,Fall,SPC,1
SPC4,SPC8,Fall,SPC,0.966101695
SPC5,SPC4,Fall,SPC,0.949152542
SPC5,SPC5,Fall,SPC,1
SPC5,SPC7,Fall,SPC,0.949152542
SPC5,SPC8,Fall,SPC,0.983050847
SPC7,SPC5,Fall,SPC,0.949152542
SPC7,SPC7,Fall,SPC,1
SPC7,SPC8,Fall,SPC,0.966101695
SPC8,SPC7,Fall,SPC,0.966101695
SPC8,SPC8,Fall,SPC,1
CRO1,CRO1,Spring,CRO,1
CRO1,CRO2,Spring,CRO,0.966101695
CRO1,CRO3,Spring,CRO,1
CRO1,CRO4,Spring,CRO,0.966101695
CRO1,CRO5,Spring,CRO,0.966101695
CRO1,CRO6,Spring,CRO,0.966101695
CRO1,CRO7,Spring,CRO,0.966101695
CRO2,CRO1,Spring,CRO,0.966101695
CRO2,CRO2,Spring,CRO,1
CRO2,CRO3,Spring,CRO,0.966101695
CRO2,CRO4,Spring,CRO,1
CRO2,CRO5,Spring,CRO,1
CRO2,CRO6,Spring,CRO,1
CRO2,CRO7,Spring,CRO,1
CRO3,CRO2,Spring,CRO,0.966101695
CRO3,CRO3,Spring,CRO,1
CRO3,CRO4,Spring,CRO,0.966101695
CRO3,CRO5,Spring,CRO,0.966101695
CRO3,CRO6,Spring,CRO,0.966101695
CRO3,CRO7,Spring,CRO,0.966101695
CRO4,CRO3,Spring,CRO,0.966101695
CRO4,CRO4,Spring,CRO,1
CRO4,CRO5,Spring,CRO,1
CRO4,CRO6,Spring,CRO,1
CRO4,CRO7,Spring,CRO,1
CRO5,CRO4,Spring,CRO,1
CRO5,CRO5,Spring,CRO,1
CRO5,CRO6,Spring,CRO,1
CRO5,CRO7,Spring,CRO,1
CRO6,CRO5,Spring,CRO,1
CRO6,CRO6,Spring,CRO,1
CRO6,CRO7,Spring,CRO,1
CRO7,CRO6,Spring,CRO,1
CRO7,CRO7,Spring,CRO,1
EAS1,EAS1,Spring,EAS,1
EAS1,EAS2,Spring,EAS,1
EAS1,EAS3,Spring,EAS,0.966101695
EAS1,EAS4,Spring,EAS,0.966101695
EAS1,EAS5,Spring,EAS,0.966101695
EAS1,EAS6,Spring,EAS,0.966101695
EAS1,EAS7,Spring,EAS,0.966101695
EAS1,EAS8,Spring,EAS,0.966101695
EAS1,EAS9,Spring,EAS,0.966101695
EAS2,EAS1,Spring,EAS,1
EAS2,EAS2,Spring,EAS,1
EAS2,EAS3,Spring,EAS,0.966101695
EAS2,EAS4,Spring,EAS,0.966101695
EAS2,EAS5,Spring,EAS,0.966101695
EAS2,EAS6,Spring,EAS,0.966101695
EAS2,EAS7,Spring,EAS,0.966101695
EAS2,EAS8,Spring,EAS,0.966101695
EAS2,EAS9,Spring,EAS,0.966101695
EAS3,EAS2,Spring,EAS,0.966101695
EAS3,EAS3,Spring,EAS,1
EAS3,EAS4,Spring,EAS,1
EAS3,EAS5,Spring,EAS,1
EAS3,EAS6,Spring,EAS,1
EAS3,EAS7,Spring,EAS,1
EAS3,EAS8,Spring,EAS,1
EAS3,EAS9,Spring,EAS,1
EAS4,EAS3,Spring,EAS,1
EAS4,EAS4,Spring,EAS,1
EAS4,EAS5,Spring,EAS,1
EAS4,EAS6,Spring,EAS,1
EAS4,EAS7,Spring,EAS,1
EAS4,EAS8,Spring,EAS,1
EAS4,EAS9,Spring,EAS,1
EAS5,EAS4,Spring,EAS,1
EAS5,EAS5,Spring,EAS,1
EAS5,EAS6,Spring,EAS,1
EAS5,EAS7,Spring,EAS,1
EAS5,EAS8,Spring,EAS,1
EAS5,EAS9,Spring,EAS,1
EAS6,EAS5,Spring,EAS,1
EAS6,EAS6,Spring,EAS,1
EAS6,EAS7,Spring,EAS,1
EAS6,EAS8,Spring,EAS,1
EAS6,EAS9,Spring,EAS,1
EAS7,EAS6,Spring,EAS,1
EAS7,EAS7,Spring,EAS,1
EAS7,EAS8,Spring,EAS,1
EAS7,EAS9,Spring,EAS,1
EAS8,EAS7,Spring,EAS,1
EAS8,EAS8,Spring,EAS,1
EAS8,EAS9,Spring,EAS,1
EAS9,EAS8,Spring,EAS,1
EAS9,EAS9,Spring,EAS,1
FRY1,FRY1,Spring,FRY,1
FRY1,FRY2,Spring,FRY,1
FRY1,FRY3,Spring,FRY,0.98245614
FRY1,FRY4,Spring,FRY,0.98245614
FRY1,FRY5,Spring,FRY,0.98245614
FRY1,FRY6,Spring,FRY,1
FRY1,FRY7,Spring,FRY,1
FRY1,FRY8,Spring,FRY,1
FRY1,FRY9,Spring,FRY,1
FRY2,FRY1,Spring,FRY,1
FRY2,FRY2,Spring,FRY,1
FRY2,FRY3,Spring,FRY,0.98245614
FRY2,FRY4,Spring,FRY,0.98245614
FRY2,FRY5,Spring,FRY,0.98245614
FRY2,FRY6,Spring,FRY,1
FRY2,FRY7,Spring,FRY,1
FRY2,FRY8,Spring,FRY,1
FRY2,FRY9,Spring,FRY,1
FRY3,FRY2,Spring,FRY,0.98245614
FRY3,FRY3,Spring,FRY,1
FRY3,FRY4,Spring,FRY,1
FRY3,FRY5,Spring,FRY,1
FRY3,FRY6,Spring,FRY,0.98245614
FRY3,FRY7,Spring,FRY,0.98245614
FRY3,FRY8,Spring,FRY,0.98245614
FRY3,FRY9,Spring,FRY,0.98245614
FRY4,FRY3,Spring,FRY,1
FRY4,FRY4,Spring,FRY,1
FRY4,FRY5,Spring,FRY,1
FRY4,FRY6,Spring,FRY,0.98245614
FRY4,FRY7,Spring,FRY,0.98245614
FRY4,FRY8,Spring,FRY,0.98245614
FRY4,FRY9,Spring,FRY,0.98245614
FRY5,FRY4,Spring,FRY,1
FRY5,FRY5,Spring,FRY,1
FRY5,FRY6,Spring,FRY,0.98245614
FRY5,FRY7,Spring,FRY,0.98245614
FRY5,FRY8,Spring,FRY,0.98245614
FRY5,FRY9,Spring,FRY,0.98245614
FRY6,FRY5,Spring,FRY,0.98245614
FRY6,FRY6,Spring,FRY,1
FRY6,FRY7,Spring,FRY,1
FRY6,FRY8,Spring,FRY,1
FRY6,FRY9,Spring,FRY,1
FRY7,FRY6,Spring,FRY,1
FRY7,FRY7,Spring,FRY,1
FRY7,FRY8,Spring,FRY,1
FRY7,FRY9,Spring,FRY,1
FRY8,FRY7,Spring,FRY,1
FRY8,FRY8,Spring,FRY,1
FRY8,FRY9,Spring,FRY,1
FRY9,FRY8,Spring,FRY,1
FRY9,FRY9,Spring,FRY,1
LLW1,LLW1,Spring,LLW,1
LLW1,LLW2,Spring,LLW,0.966101695
LLW1,LLW3,Spring,LLW,0.949152542
LLW1,LLW4,Spring,LLW,0.966101695
LLW1,LLW5,Spring,LLW,0.966101695
LLW1,LLW6,Spring,LLW,1
LLW2,LLW1,Spring,LLW,0.966101695
LLW2,LLW2,Spring,LLW,1
LLW2,LLW3,Spring,LLW,0.915254237
LLW2,LLW4,Spring,LLW,0.93220339
LLW2,LLW5,Spring,LLW,0.93220339
LLW2,LLW6,Spring,LLW,0.966101695
LLW3,LLW2,Spring,LLW,0.915254237
LLW3,LLW3,Spring,LLW,1
LLW3,LLW4,Spring,LLW,0.915254237
LLW3,LLW5,Spring,LLW,0.915254237
LLW3,LLW6,Spring,LLW,0.949152542
LLW4,LLW3,Spring,LLW,0.915254237
LLW4,LLW4,Spring,LLW,1
LLW4,LLW5,Spring,LLW,1
LLW4,LLW6,Spring,LLW,0.966101695
LLW5,LLW4,Spring,LLW,1
LLW5,LLW5,Spring,LLW,1
LLW5,LLW6,Spring,LLW,0.966101695
LLW6,LLW5,Spring,LLW,0.966101695
LLW6,LLW6,Spring,LLW,1
ROL1,ROL1,Spring,ROL,1
ROL1,ROL2,Spring,ROL,0.98245614
ROL1,ROL3,Spring,ROL,0.894736842
ROL1,ROL4,Spring,ROL,1
ROL1,ROL5,Spring,ROL,0.859649123
ROL1,ROL6,Spring,ROL,0.877192982
ROL1,ROL7,Spring,ROL,0.859649123
ROL2,ROL1,Spring,ROL,0.98245614
ROL2,ROL2,Spring,ROL,1
ROL2,ROL3,Spring,ROL,0.877192982
ROL2,ROL4,Spring,ROL,0.98245614
ROL2,ROL5,Spring,ROL,0.842105263
ROL2,ROL6,Spring,ROL,0.859649123
ROL2,ROL7,Spring,ROL,0.842105263
ROL3,ROL2,Spring,ROL,0.877192982
ROL3,ROL3,Spring,ROL,1
ROL3,ROL4,Spring,ROL,0.894736842
ROL3,ROL5,Spring,ROL,0.960784314
ROL3,ROL6,Spring,ROL,0.980392157
ROL3,ROL7,Spring,ROL,0.960784314
ROL4,ROL3,Spring,ROL,0.894736842
ROL4,ROL4,Spring,ROL,1
ROL4,ROL5,Spring,ROL,0.859649123
ROL4,ROL6,Spring,ROL,0.877192982
ROL4,ROL7,Spring,ROL,0.859649123
ROL5,ROL4,Spring,ROL,0.859649123
ROL5,ROL5,Spring,ROL,1
ROL5,ROL6,Spring,ROL,0.941176471
ROL5,ROL7,Spring,ROL,0.921568627
ROL6,ROL5,Spring,ROL,0.941176471
ROL6,ROL6,Spring,ROL,1
ROL6,ROL7,Spring,ROL,0.98
ROL7,ROL6,Spring,ROL,0.98
ROL7,ROL7,Spring,ROL,1
SPC1,SPC1,Spring,SPC,1
SPC1,SPC2,Spring,SPC,0.966101695
SPC1,SPC3,Spring,SPC,1
SPC1,SPC4,Spring,SPC,0.966101695
SPC1,SPC5,Spring,SPC,1
SPC1,SPC6,Spring,SPC,0.949152542
SPC1,SPC7,Spring,SPC,0.966101695
SPC1,SPC8,Spring,SPC,0.949152542
SPC2,SPC1,Spring,SPC,0.966101695
SPC2,SPC2,Spring,SPC,1
SPC2,SPC3,Spring,SPC,0.966101695
SPC2,SPC4,Spring,SPC,1
SPC2,SPC5,Spring,SPC,0.966101695
SPC2,SPC6,Spring,SPC,0.98245614
SPC2,SPC7,Spring,SPC,1
SPC2,SPC8,Spring,SPC,0.98245614
SPC3,SPC2,Spring,SPC,0.966101695
SPC3,SPC3,Spring,SPC,1
SPC3,SPC4,Spring,SPC,0.966101695
SPC3,SPC5,Spring,SPC,1
SPC3,SPC6,Spring,SPC,0.949152542
SPC3,SPC7,Spring,SPC,0.966101695
SPC3,SPC8,Spring,SPC,0.949152542
SPC4,SPC3,Spring,SPC,0.966101695
SPC4,SPC4,Spring,SPC,1
SPC4,SPC5,Spring,SPC,0.966101695
SPC4,SPC6,Spring,SPC,0.98245614
SPC4,SPC7,Spring,SPC,1
SPC4,SPC8,Spring,SPC,0.98245614
SPC5,SPC4,Spring,SPC,0.966101695
SPC5,SPC5,Spring,SPC,1
SPC5,SPC6,Spring,SPC,0.949152542
SPC5,SPC7,Spring,SPC,0.966101695
SPC5,SPC8,Spring,SPC,0.949152542
SPC6,SPC5,Spring,SPC,0.949152542
SPC6,SPC6,Spring,SPC,1
SPC6,SPC7,Spring,SPC,0.98245614
SPC6,SPC8,Spring,SPC,1
SPC7,SPC6,Spring,SPC,0.98245614
SPC7,SPC7,Spring,SPC,1
SPC7,SPC8,Spring,SPC,0.98245614
SPC8,SPC7,Spring,SPC,0.98245614
SPC8,SPC8,Spring,SPC,1
