Site,Stream,Season,Aeshnidae,Ameletidae,Athericidae,Baetidae,Baetistidae,Brachycentridae,Capniidae,Ceratopogonidae,Chironomidae,Chloroperlidae,Cordulegastridae,Corduliidae,Corydalidae,Dixidae,Elmidae,Empididae,Ephemerellidae,Ephemeridae,Glossosomatidae,Goeridae,Gomphidae,Helophoridae,Heptageniidae,Hydropsychidae,Hydroptilidae,Isonychiidae,Lepidostomatidae,Leptophlebiidae,Leuctridae,Limnephilidae,Nemouridae,Oligochaeta,Pelecorhynchidae,Peltoperlidae,Perlidae,Perlodidae,Philopotamidae,Phoridae,Polycentropodidae,Psephenidae,Psychodidae,Psychomyiidae,Pteronarcyidae,Ptilodactylidae,Rhyacophilidae,Sialidae,Simuliidae,Stratiomyidae,Tabanidae,Taeniopterygidae,Tipulidae,Uenoidae
EAS4,EAS (R),Fall,0,0,0,6,0,0,3,0,45,0,0,0,0,0,11,13,9,0,0,0,0,0,8,60,3,0,0,19,4,0,0,0,0,0,5,6,6,0,0,8,0,0,0,0,11,0,0,0,0,0,3,0
EAS5,EAS (R),Fall,0,0,0,3,0,0,3,0,12,1,0,0,1,0,13,1,19,0,0,0,1,0,12,64,4,0,0,20,1,0,0,0,0,1,1,3,7,0,1,6,0,0,1,0,11,0,0,0,0,0,0,0
EAS6,EAS (R),Fall,0,0,0,5,0,0,4,0,7,0,0,0,0,0,6,6,28,0,0,0,0,0,20,58,4,0,0,6,3,0,0,1,0,6,2,5,3,0,0,7,0,2,6,0,15,0,0,0,0,0,1,0
EAS7,EAS (R),Fall,0,0,0,4,0,0,0,0,13,1,0,0,0,0,17,1,18,0,0,0,2,0,15,60,7,0,0,6,0,0,0,0,0,6,0,8,5,0,0,5,0,2,1,0,11,0,0,0,0,0,3,0
EAS8,EAS (R),Fall,0,0,0,2,0,0,2,0,21,6,0,0,0,3,12,12,14,0,0,0,3,0,21,60,3,0,0,3,4,0,1,2,0,10,0,6,2,0,0,10,0,2,0,0,10,0,0,0,0,0,2,0
FRY1,FRY (MI),Fall,0,0,0,1,0,0,0,5,4,0,0,0,2,0,29,1,0,0,0,0,4,0,7,106,0,0,0,0,0,0,0,1,0,0,4,1,7,0,1,25,0,0,2,0,2,0,0,0,0,5,19,0
FRY2,FRY (MI),Fall,0,0,0,1,0,0,1,4,4,0,0,0,2,1,19,20,1,0,0,0,4,0,10,101,2,0,0,0,1,0,0,4,0,0,3,0,5,0,3,13,0,0,0,0,7,0,0,0,0,5,9,0
FRY3,FRY (MI),Fall,0,0,1,0,0,0,5,0,3,0,0,0,1,1,16,0,0,0,0,0,6,0,7,111,3,0,0,0,0,0,0,0,0,0,4,3,2,0,2,5,0,0,0,0,4,0,0,0,0,2,16,0
FRY4,FRY (MI),Fall,0,0,1,1,0,0,2,1,1,1,0,0,0,0,19,19,0,0,0,0,3,0,9,100,3,0,0,0,1,0,0,0,0,0,7,0,2,0,1,9,0,0,4,0,12,0,1,0,0,5,13,0
FRY5,FRY (MI),Fall,0,0,0,0,0,0,7,2,4,0,0,0,2,0,4,1,1,0,0,0,1,0,4,124,4,0,0,0,1,0,0,0,0,0,2,2,6,0,5,10,0,0,1,0,29,0,0,0,0,12,2,0
FRY6,FRY (MI),Fall,0,0,0,0,0,0,6,0,3,1,0,0,0,0,14,14,0,0,0,0,2,0,0,93,4,0,0,0,0,0,0,4,0,0,1,2,4,0,2,14,0,1,2,0,19,0,0,0,0,19,9,0
FRY7,FRY (MI),Fall,0,0,0,1,0,0,1,1,3,1,0,0,1,0,15,0,0,0,0,0,2,0,6,125,3,0,0,0,0,0,0,2,0,0,5,4,4,0,2,6,0,0,2,0,12,0,0,0,0,20,3,0
LLW1,LLW (MI),Fall,0,0,0,0,0,0,7,1,15,0,0,0,0,0,40,45,0,0,0,0,4,0,0,60,0,0,0,0,29,0,0,0,0,0,5,0,8,0,2,30,0,0,1,0,2,0,4,0,0,2,1,0
LLW2,LLW (MI),Fall,0,0,0,2,0,0,2,1,14,0,0,0,0,0,17,2,2,0,0,0,4,0,0,75,1,0,0,0,34,0,0,5,0,0,2,0,0,0,0,25,1,0,1,0,4,0,3,0,0,1,5,0
LLW3,LLW (MI),Fall,0,0,0,5,0,0,2,1,12,0,0,0,0,0,17,21,0,0,0,0,1,0,0,104,0,0,0,0,24,0,0,2,0,2,2,0,0,0,0,28,0,0,1,0,3,0,6,0,0,0,4,0
LLW4,LLW (MI),Fall,0,0,0,48,0,0,1,1,13,0,0,0,0,0,22,3,0,0,0,0,1,0,0,69,0,0,0,0,10,0,0,2,0,1,0,0,5,0,0,41,0,0,0,0,8,0,1,0,0,0,4,0
LLW5,LLW (MI),Fall,0,0,0,0,0,0,2,1,18,0,0,0,0,6,0,2,0,0,0,0,3,0,0,94,2,0,0,0,0,0,1,3,0,7,0,0,0,0,0,33,0,0,0,0,3,0,5,0,0,0,20,0
LLW6,LLW (MI),Fall,0,0,0,0,0,0,1,0,20,0,0,0,0,1,1,1,0,0,0,0,0,0,0,70,0,0,0,1,0,0,0,6,0,1,0,3,2,0,0,1,0,0,0,0,7,1,4,1,0,0,92,0
ROL1,ROL (MI),Fall,0,0,0,0,0,0,5,3,12,1,0,0,1,0,20,20,0,0,0,0,0,0,5,94,0,0,0,1,19,0,0,2,0,0,2,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,23,0
ROL2,ROL (MI),Fall,0,0,0,0,0,0,4,0,4,0,0,0,0,0,32,2,0,0,0,0,1,0,4,95,10,0,0,0,10,0,0,17,0,0,2,0,1,0,0,8,0,0,0,0,4,0,0,0,1,0,14,0
ROL3,ROL (MI),Fall,0,0,0,0,0,0,4,0,7,2,0,0,0,0,41,44,1,0,0,0,10,0,2,63,4,0,0,1,13,0,0,19,0,0,3,0,4,0,0,8,0,0,0,0,2,1,0,0,0,2,30,0
ROL4,ROL (MI),Fall,0,0,0,0,0,0,8,1,26,5,0,0,0,3,8,3,0,0,0,0,7,0,1,67,13,0,0,0,10,0,0,26,0,0,6,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,18,0
ROL5,ROL (MI),Fall,0,0,0,0,0,0,9,0,18,3,0,1,0,0,8,10,0,0,0,0,2,0,0,75,19,0,0,0,4,0,0,29,0,0,4,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,17,0
ROL6,ROL (MI),Fall,0,0,0,0,0,0,22,1,29,0,1,0,0,0,0,1,0,0,0,0,0,0,0,72,22,0,0,0,4,0,0,1,0,0,1,2,0,0,1,10,0,0,0,0,0,0,0,0,0,7,20,0
SPC1,SPC (MI),Fall,0,0,0,1,0,0,32,0,8,0,0,0,5,0,11,11,0,0,0,0,1,0,15,91,2,2,0,0,5,0,0,1,0,0,4,0,5,0,2,4,0,1,0,0,10,0,0,0,0,2,3,0
SPC2,SPC (MI),Fall,0,0,0,5,0,0,14,0,15,0,0,0,2,0,32,5,2,0,0,0,0,0,31,57,0,0,0,0,1,0,0,1,0,0,1,0,17,0,8,4,0,0,0,0,15,0,0,0,0,4,5,0
SPC3,SPC (MI),Fall,0,0,0,5,0,0,11,0,3,0,0,0,3,0,15,17,2,0,0,0,0,0,17,71,1,0,0,0,2,0,0,2,0,0,2,0,4,0,4,5,0,0,0,0,23,0,0,0,0,6,20,0
SPC4,SPC (MI),Fall,0,0,1,7,1,0,25,0,14,0,0,0,5,0,20,1,0,0,1,0,1,0,29,92,0,0,0,0,1,0,0,3,0,0,0,0,12,0,0,4,0,0,0,0,7,0,0,0,0,2,1,1
SPC5,SPC (MI),Fall,0,0,1,22,0,0,16,0,13,0,0,0,0,1,17,17,0,0,0,0,4,0,19,60,0,0,0,0,2,0,0,0,0,0,4,2,20,0,2,1,0,0,0,0,14,0,1,0,1,3,4,0
SPC7,SPC (MI),Fall,0,0,0,3,0,0,15,0,11,1,0,0,1,0,22,4,1,0,0,0,4,0,14,73,0,0,0,0,6,0,0,1,0,0,1,0,21,0,2,8,0,0,0,0,11,1,0,0,0,0,5,0
SPC8,SPC (MI),Fall,0,0,0,2,0,0,42,0,11,0,0,0,0,1,20,23,3,0,0,0,2,0,8,55,5,0,0,1,4,0,0,3,0,0,1,5,7,0,1,2,0,1,0,0,2,0,2,0,0,0,8,0
CRO1,CRO (R),Spring,0,1,0,7,0,2,3,1,36,8,0,0,0,0,18,2,41,0,0,0,1,0,14,15,0,1,0,11,3,0,6,6,0,2,1,6,0,0,0,3,0,0,1,0,3,0,0,0,0,0,15,3
CRO2,CRO (R),Spring,0,2,0,4,0,4,2,2,52,3,0,0,0,0,8,11,26,1,0,0,1,0,12,15,0,0,2,9,8,0,4,8,0,4,3,6,2,0,2,5,0,0,2,1,0,0,1,0,0,0,11,1
CRO3,CRO (R),Spring,0,1,0,5,0,10,8,2,42,3,0,0,0,1,18,5,10,0,0,0,2,0,20,7,0,0,0,4,8,0,7,1,0,1,3,6,1,0,0,3,0,0,2,0,3,0,0,0,0,0,21,0
CRO4,CRO (R),Spring,0,4,0,9,0,16,4,2,25,5,0,0,0,1,15,18,28,0,0,0,0,0,8,13,0,1,0,14,5,0,13,1,0,7,2,9,0,0,2,3,0,2,1,1,2,0,3,0,0,0,12,0
CRO5,CRO (R),Spring,0,5,0,8,0,10,2,3,43,5,0,0,1,1,14,3,18,1,0,0,1,0,8,0,0,0,0,36,7,0,9,4,0,0,2,6,2,0,3,2,0,0,0,0,4,0,3,0,0,0,13,0
CRO6,CRO (R),Spring,0,5,0,8,0,12,8,3,55,16,2,0,0,1,3,6,24,1,0,0,4,0,1,0,0,0,0,24,4,0,15,4,0,2,2,5,0,0,0,0,0,0,0,3,0,0,1,0,3,0,12,0
CRO7,CRO (R),Spring,0,8,0,26,0,7,6,0,35,13,0,0,0,0,5,2,21,0,0,0,0,0,9,2,0,0,3,19,20,1,10,2,0,11,2,17,0,0,0,7,0,0,0,0,0,0,1,0,0,0,5,0
EAS1,EAS (R),Spring,0,0,0,3,0,0,1,0,46,0,0,0,0,0,12,12,13,0,0,0,1,0,33,14,0,0,0,2,23,0,18,5,0,16,2,0,2,0,0,1,1,0,0,0,2,0,1,0,0,0,4,0
EAS2,EAS (R),Spring,0,3,0,2,0,0,0,1,26,5,0,0,0,0,20,0,20,0,0,0,0,0,48,12,0,0,0,3,11,0,4,2,0,9,2,3,0,0,0,1,0,1,4,0,3,0,1,0,0,0,4,1
EAS3,EAS (R),Spring,0,3,0,6,0,0,0,2,38,5,0,0,0,0,29,30,25,0,0,0,0,0,47,13,0,0,0,8,7,0,4,1,0,3,4,4,2,0,0,5,0,0,0,0,0,0,3,0,0,0,1,2
EAS4,EAS (R),Spring,0,3,0,11,0,0,1,0,35,3,0,0,0,0,15,1,24,0,0,0,0,0,41,10,0,0,1,6,10,0,8,2,0,13,2,6,2,0,0,3,0,0,9,0,3,0,0,0,0,0,1,1
EAS5,EAS (R),Spring,0,7,0,14,0,0,5,2,39,2,0,0,0,0,12,12,14,0,0,0,0,0,38,18,0,0,0,5,16,0,9,1,0,12,1,4,2,0,0,0,0,0,3,0,2,0,0,0,0,0,3,0
EAS6,EAS (R),Spring,0,10,0,12,0,0,3,1,37,3,0,0,0,0,18,0,9,0,0,0,3,0,36,16,0,0,0,4,17,0,3,1,0,17,2,1,1,0,0,3,0,0,1,0,1,0,0,0,0,0,2,2
EAS7,EAS (R),Spring,0,0,0,11,0,0,2,3,24,7,0,0,0,0,25,25,2,0,0,0,2,0,14,18,0,0,0,6,21,0,9,4,0,40,1,7,1,0,0,2,0,0,0,0,5,0,0,0,0,0,2,2
EAS8,EAS (R),Spring,0,0,0,14,0,0,6,3,28,4,0,0,0,0,16,0,9,0,0,0,3,0,17,22,0,0,0,0,31,1,8,3,0,28,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0
EAS9,EAS (R),Spring,0,1,0,3,0,0,8,0,40,1,0,0,0,0,8,8,5,0,0,0,2,0,3,0,0,0,1,2,46,0,23,3,0,43,0,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1
FRY1,FRY (MI),Spring,0,0,0,80,0,1,2,0,21,0,0,0,0,0,12,4,15,0,0,0,0,0,5,7,0,0,0,0,16,0,36,1,0,0,4,5,9,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0
FRY2,FRY (MI),Spring,0,1,0,59,0,0,0,0,27,0,0,0,0,0,6,7,16,0,0,0,0,0,4,5,0,0,0,2,21,0,24,1,0,0,3,6,15,0,0,4,0,0,2,0,2,0,0,0,0,2,1,0
FRY3,FRY (MI),Spring,0,0,0,65,0,0,2,0,24,0,0,0,1,0,2,4,15,0,0,0,0,0,4,9,0,0,0,0,10,0,36,0,0,0,1,5,17,0,4,1,0,0,2,0,2,0,0,0,0,1,2,0
FRY4,FRY (MI),Spring,0,0,0,70,0,0,4,0,17,0,0,0,0,0,6,7,9,0,0,0,1,0,2,11,0,0,0,0,43,0,36,0,0,0,0,4,8,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0
FRY5,FRY (MI),Spring,0,0,0,63,0,0,0,1,30,2,0,0,0,0,1,4,16,0,0,0,0,0,2,3,0,0,0,2,36,0,26,0,0,0,2,3,2,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0
FRY6,FRY (MI),Spring,0,0,0,42,0,0,4,0,23,0,0,0,0,0,5,8,20,0,0,0,1,0,11,6,0,0,0,0,50,0,20,1,0,0,2,2,7,0,2,1,0,0,5,0,1,0,0,0,0,0,3,0
FRY7,FRY (MI),Spring,0,0,0,82,0,1,1,0,26,2,0,0,0,0,6,4,38,0,0,0,1,0,11,6,0,0,0,0,15,0,4,1,0,0,1,7,3,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0
FRY8,FRY (MI),Spring,0,1,0,29,0,2,1,0,32,2,0,0,0,0,5,17,35,0,0,0,0,0,15,9,0,0,0,0,14,0,14,3,0,0,0,2,5,0,0,3,0,0,5,0,3,0,0,0,0,0,1,0
FRY9,FRY (MI),Spring,0,13,0,9,0,1,3,2,49,4,0,0,0,0,23,15,29,0,0,0,0,0,11,1,0,0,0,2,4,0,4,2,0,4,2,1,0,0,0,5,0,0,14,0,0,0,0,0,0,0,3,2
LLW1,LLW (MI),Spring,0,0,0,12,0,0,18,1,53,0,0,0,0,0,16,26,1,0,0,0,0,0,0,9,0,0,0,0,37,0,31,2,0,0,4,1,5,0,0,5,0,0,0,0,2,0,2,0,0,0,3,0
LLW2,LLW (MI),Spring,0,0,0,15,0,0,6,0,80,0,0,0,0,0,16,15,0,0,0,0,1,0,3,11,0,0,0,0,33,0,38,2,0,3,0,3,2,0,1,4,0,1,0,0,3,0,1,0,0,0,0,0
LLW3,LLW (MI),Spring,0,1,0,10,0,0,4,0,89,0,0,0,0,0,4,10,1,0,0,0,0,0,0,8,0,0,0,0,63,0,31,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0
LLW4,LLW (MI),Spring,0,0,0,6,0,0,3,0,54,0,0,0,0,0,5,4,0,0,0,0,0,0,0,9,0,0,0,0,62,0,39,2,0,2,1,0,0,0,0,2,0,0,0,0,5,0,5,0,0,0,1,0
LLW5,LLW (MI),Spring,0,0,0,2,0,0,5,0,57,0,0,0,0,0,2,9,0,0,0,0,0,0,0,8,0,0,0,0,19,0,81,1,0,13,0,0,0,0,0,2,0,0,0,0,1,0,5,0,0,0,1,0
LLW6,LLW (MI),Spring,0,1,0,2,0,0,4,0,90,0,0,0,0,2,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,59,5,0,1,0,4,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0
ROL1,ROL (MI),Spring,0,4,0,3,0,0,6,0,7,1,0,0,1,0,9,9,0,0,0,0,0,0,1,14,0,0,0,1,81,0,46,10,0,1,1,6,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0
ROL2,ROL (MI),Spring,0,2,0,5,0,1,8,0,0,1,0,0,1,0,4,2,0,0,0,0,0,0,2,9,0,0,0,1,91,0,45,7,0,0,2,0,0,0,1,6,0,0,0,0,2,0,0,0,0,0,2,0
ROL3,ROL (MI),Spring,0,0,0,0,0,2,7,0,7,0,0,0,1,0,7,10,0,0,0,0,0,0,0,1,0,0,0,0,73,0,47,13,0,2,0,8,1,0,0,1,0,0,0,0,4,0,0,0,0,0,3,0
ROL4,ROL (MI),Spring,0,3,0,2,0,0,10,1,49,7,0,0,0,0,1,1,0,0,0,0,1,0,0,5,1,0,0,0,44,0,43,17,0,0,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0
ROL5,ROL (MI),Spring,0,0,0,0,0,0,4,0,38,2,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,85,0,29,21,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0
ROL6,ROL (MI),Spring,0,0,0,0,0,0,4,0,44,5,0,0,0,0,0,2,0,0,0,0,1,0,0,4,0,0,0,0,111,0,47,0,0,0,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
ROL7,ROL (MI),Spring,0,0,0,0,0,0,10,0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,105,0,52,0,0,0,1,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
SPC1,SPC (MI),Spring,0,0,0,18,0,0,4,0,62,0,0,0,0,0,3,1,22,0,0,0,0,0,3,11,0,0,0,0,34,0,46,6,0,1,1,0,7,0,0,0,0,0,0,0,5,0,2,0,0,0,1,0
SPC2,SPC (MI),Spring,0,0,0,21,0,0,1,0,65,0,0,0,1,0,2,4,10,0,0,0,0,0,5,4,0,0,0,0,37,0,29,35,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
SPC3,SPC (MI),Spring,0,0,0,28,0,2,4,0,37,1,0,0,0,0,5,1,12,0,0,0,0,0,10,3,0,0,0,0,57,0,32,1,0,1,2,4,2,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0
SPC4,SPC (MI),Spring,1,1,0,33,0,2,4,0,28,0,0,0,0,0,10,10,8,0,0,0,2,0,16,1,0,0,0,0,37,0,32,11,0,1,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
SPC5,SPC (MI),Spring,0,0,0,26,0,3,3,0,18,0,0,0,0,0,6,1,5,0,0,0,0,0,23,5,0,0,0,0,46,0,37,1,0,1,1,10,7,0,1,0,0,0,0,0,3,0,5,0,0,5,3,0
SPC6,SPC (MI),Spring,0,0,0,12,0,2,2,0,5,2,0,0,0,1,18,21,11,0,0,0,1,0,30,4,0,0,0,0,45,0,40,0,0,0,0,15,10,0,0,1,0,0,0,0,7,0,0,0,0,1,1,0
SPC7,SPC (MI),Spring,0,1,0,11,0,3,2,1,18,0,0,0,2,0,20,7,17,0,0,1,3,0,17,14,0,1,0,1,44,0,11,2,0,1,1,8,4,0,0,3,0,0,0,0,5,0,0,0,0,1,3,1
SPC8,SPC (MI),Spring,0,2,0,7,0,3,0,0,7,6,0,0,1,0,20,21,19,0,0,0,1,0,36,4,0,0,0,1,52,0,17,0,0,0,2,13,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
