rownames,CRO,,EAS,,FRY,,LLW,,ROL,,SPC,
rich.CG,0.599,0.155,0.509,0.197,-0.43,0.335,0.334,0.518,NA,NA,0.767,0.044
rich.Cling,-0.018,0.969,-0.331,0.423,0.429,0.337,-0.58,0.228,-0.334,0.518,0.692,0.085
rich.D,0.487,0.268,0.42,0.3,0.418,0.35,-0.395,0.439,0.455,0.364,0.741,0.057
rich.E,0,1,0.441,0.274,0.259,0.574,-0.093,0.862,-0.837,0.038,0.316,0.49
rich.E.less.B,0.289,0.53,0.394,0.334,0.436,0.328,0.293,0.573,-0.837,0.038,-0.474,0.282
rich.EPT,-0.374,0.408,0.025,0.952,0.234,0.613,-0.841,0.036,-0.116,0.827,0.418,0.35
rich.EPT.less.H,-0.018,0.969,0.185,0.66,0.27,0.558,-0.759,0.08,-0.029,0.957,0.364,0.423
rich.INT,-0.09,0.848,0.277,0.506,0.234,0.613,-0.696,0.125,-0.235,0.653,0.418,0.35
rich.less.E,0.327,0.474,0.133,0.753,0.281,0.542,-0.771,0.072,0.353,0.492,0.927,0.003
rich.P,-0.2,0.667,0.11,0.795,0.291,0.527,-0.878,0.021,0.441,0.381,0.056,0.905
rich.PR,-0.315,0.491,0.683,0.062,0.791,0.034,-0.928,0.008,0.334,0.518,0.703,0.078
rich.PT,-0.367,0.418,-0.123,0.772,0.327,0.474,-0.899,0.015,0.463,0.355,0.43,0.335
rich.SC,-0.019,0.968,-0.761,0.028,0.527,0.224,-0.679,0.138,-0.725,0.103,-0.037,0.937
rich.SC.less.E,0.164,0.726,-0.718,0.045,-0.139,0.766,-0.941,0.005,-0.338,0.512,0.197,0.672
rich.SH,0.571,0.18,-0.426,0.293,0.367,0.418,-0.441,0.381,0.618,0.191,-0.449,0.312
rich.Sprawl,-0.15,0.749,0.206,0.624,0.474,0.282,-0.676,0.14,0.507,0.305,-0.164,0.726
rich.Swimm,0.132,0.777,0.404,0.321,-0.1,0.832,0.845,0.034,-0.488,0.326,0.599,0.155
rich.T,0,1,-0.35,0.395,-0.055,0.908,-0.463,0.355,0.147,0.781,0.668,0.101
rich.T.less.H,0.112,0.811,-0.143,0.735,-0.236,0.61,0.123,0.816,0.334,0.518,0.116,0.805
rich.TOL,0.289,0.53,0.577,0.134,NA,NA,-0.393,0.441,-0.393,0.441,0.579,0.173
